,opt_name,reason,encoding,proved
495,AndOrXor:210,poison,full,yes
496,AndOrXor:210,poison,partial,yes
497,AndOrXor:210,poison,qf,yes
498,AndOrXor:210,undef,full,yes
499,AndOrXor:210,undef,partial,yes
500,AndOrXor:210,undef,qf,yes
501,AndOrXor:210,values,full,no
502,AndOrXor:210,values,partial,no
503,AndOrXor:210,values,qf,no
504,AndOrXor:2113,poison,full,yes
505,AndOrXor:2113,poison,partial,yes
506,AndOrXor:2113,poison,qf,yes
507,AndOrXor:2113,undef,full,yes
508,AndOrXor:2113,undef,partial,yes
509,AndOrXor:2113,undef,qf,yes
510,AndOrXor:2113,values,full,no
511,AndOrXor:2113,values,partial,no
512,AndOrXor:2113,values,qf,no
513,AndOrXor:2118,poison,full,yes
514,AndOrXor:2118,poison,partial,yes
515,AndOrXor:2118,poison,qf,yes
516,AndOrXor:2118,undef,full,yes
517,AndOrXor:2118,undef,partial,yes
518,AndOrXor:2118,undef,qf,yes
519,AndOrXor:2118,values,full,no
520,AndOrXor:2118,values,partial,no
521,AndOrXor:2118,values,qf,no
522,AndOrXor:2123,poison,full,yes
523,AndOrXor:2123,poison,partial,yes
524,AndOrXor:2123,poison,qf,yes
525,AndOrXor:2123,undef,full,yes
526,AndOrXor:2123,undef,partial,yes
527,AndOrXor:2123,undef,qf,yes
528,AndOrXor:2123,values,full,no
529,AndOrXor:2123,values,partial,no
530,AndOrXor:2123,values,qf,no
531,AndOrXor:2160,poison,full,yes
532,AndOrXor:2160,poison,partial,yes
533,AndOrXor:2160,poison,qf,yes
534,AndOrXor:2160,undef,full,yes
535,AndOrXor:2160,undef,partial,yes
536,AndOrXor:2160,undef,qf,yes
537,AndOrXor:2160,values,full,no
538,AndOrXor:2160,values,partial,no
539,AndOrXor:2160,values,qf,no
540,AndOrXor:2188,poison,full,yes
541,AndOrXor:2188,poison,partial,yes
542,AndOrXor:2188,poison,qf,yes
543,AndOrXor:2188,undef,full,yes
544,AndOrXor:2188,undef,partial,yes
545,AndOrXor:2188,undef,qf,yes
546,AndOrXor:2188,values,full,no
547,AndOrXor:2188,values,partial,no
548,AndOrXor:2188,values,qf,no
549,AndOrXor:2243,poison,full,yes
550,AndOrXor:2243,poison,partial,yes
551,AndOrXor:2243,poison,qf,yes
552,AndOrXor:2243,undef,full,yes
553,AndOrXor:2243,undef,partial,yes
554,AndOrXor:2243,undef,qf,yes
555,AndOrXor:2243,values,full,no
556,AndOrXor:2243,values,partial,no
557,AndOrXor:2243,values,qf,no
558,AndOrXor:2247,poison,full,yes
559,AndOrXor:2247,poison,partial,yes
560,AndOrXor:2247,poison,qf,yes
561,AndOrXor:2247,undef,full,yes
562,AndOrXor:2247,undef,partial,yes
563,AndOrXor:2247,undef,qf,yes
564,AndOrXor:2247,values,full,no
565,AndOrXor:2247,values,partial,no
566,AndOrXor:2247,values,qf,no
567,AndOrXor:2263,poison,full,yes
568,AndOrXor:2263,poison,partial,yes
569,AndOrXor:2263,poison,qf,yes
570,AndOrXor:2263,undef,full,yes
571,AndOrXor:2263,undef,partial,yes
572,AndOrXor:2263,undef,qf,yes
573,AndOrXor:2263,values,full,no
574,AndOrXor:2263,values,partial,no
575,AndOrXor:2263,values,qf,no
576,AndOrXor:2264,poison,full,yes
577,AndOrXor:2264,poison,partial,yes
578,AndOrXor:2264,poison,qf,yes
579,AndOrXor:2264,undef,full,yes
580,AndOrXor:2264,undef,partial,yes
581,AndOrXor:2264,undef,qf,yes
582,AndOrXor:2264,values,full,no
583,AndOrXor:2264,values,partial,no
584,AndOrXor:2264,values,qf,no
585,AndOrXor:2265,poison,full,yes
586,AndOrXor:2265,poison,partial,yes
587,AndOrXor:2265,poison,qf,yes
588,AndOrXor:2265,undef,full,yes
589,AndOrXor:2265,undef,partial,yes
590,AndOrXor:2265,undef,qf,yes
591,AndOrXor:2265,values,full,no
592,AndOrXor:2265,values,partial,no
593,AndOrXor:2265,values,qf,no
594,AndOrXor:2284,poison,full,yes
595,AndOrXor:2284,poison,partial,yes
596,AndOrXor:2284,poison,qf,yes
597,AndOrXor:2284,undef,full,yes
