,config,opt_name,reason,proved
536,cvc4_tplanes_saturate_no_e_matching,AddSub:1574,values,yes
537,cvc4_tplanes_saturate_no_e_matching,AddSub:1599,poison,yes
538,cvc4_tplanes_saturate_no_e_matching,AddSub:1599,undef,yes
539,cvc4_tplanes_saturate_no_e_matching,AddSub:1599,values,yes
540,cvc4_tplanes_saturate_no_e_matching,AddSub:1604,poison,yes
541,cvc4_tplanes_saturate_no_e_matching,AddSub:1604,undef,yes
542,cvc4_tplanes_saturate_no_e_matching,AddSub:1604,values,yes
543,cvc4_tplanes_saturate_no_e_matching,AddSub:1614,poison,yes
544,cvc4_tplanes_saturate_no_e_matching,AddSub:1614,undef,yes
545,cvc4_tplanes_saturate_no_e_matching,AddSub:1614,values,yes
546,cvc4_tplanes_saturate_no_e_matching,AddSub:1619,poison,yes
547,cvc4_tplanes_saturate_no_e_matching,AddSub:1619,undef,yes
548,cvc4_tplanes_saturate_no_e_matching,AddSub:1619,values,yes
549,cvc4_tplanes_saturate_no_e_matching,AddSub:1624,poison,yes
550,cvc4_tplanes_saturate_no_e_matching,AddSub:1624,undef,yes
551,cvc4_tplanes_saturate_no_e_matching,AddSub:1624,values,yes
552,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1006,poison,yes
553,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1006,undef,yes
554,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1006,values,yes
555,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1007,poison,yes
556,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1007,undef,yes
557,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1007,values,yes
558,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1012,poison,yes
559,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1012,undef,yes
560,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1012,values,yes
561,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1288,poison,yes
562,cvc4_tplanes_saturate_no_e_matching,AndOrXor:1288,undef,yes
