index,path,err_log,config,filename,encoding,filename_clean,filename_cleaner,opt_name,family,reason,status,result,seconds,proved
28,cvc4_tplanes_saturate_no_e_matching/combined-combined_AddSub:1165_undef_9.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AddSub:1165_undef_9.smt2,combined,combined_AddSub:1165_undef_9.smt2,AddSub:1165_undef_9.smt2,AddSub:1165,AddSub,undef,ok,unsat,0,yes
29,cvc4_tplanes_saturate_no_e_matching/combined-combined_Select:575b_undef_18.smt2,"ok,unsat,2",cvc4_tplanes_saturate_no_e_matching,combined-combined_Select:575b_undef_18.smt2,combined,combined_Select:575b_undef_18.smt2,Select:575b_undef_18.smt2,Select:575b,Select,undef,ok,unsat,2,yes
30,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:151_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:151_values_0.smt2,partial,partial_AndOrXor:151_values_0.smt2,AndOrXor:151_values_0.smt2,AndOrXor:151,AndOrXor,values,out of time,no result,1800,no
31,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:967_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:967_undef_0.smt2,qf,qf_AndOrXor:967_undef_0.smt2,AndOrXor:967_undef_0.smt2,AndOrXor:967,AndOrXor,undef,ok,unsat,0,yes
32,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:2231_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:2231_values_0.smt2,combined,combined_AndOrXor:2231_values_0.smt2,AndOrXor:2231_values_0.smt2,AndOrXor:2231,AndOrXor,values,out of time,no result,1800,no
33,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:1247_poison_43.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:1247_poison_43.smt2,combined,combined_AndOrXor:1247_poison_43.smt2,AndOrXor:1247_poison_43.smt2,AndOrXor:1247,AndOrXor,poison,ok,unsat,0,yes
34,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:2284_undef_63.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:2284_undef_63.smt2,partial,partial_AndOrXor:2284_undef_63.smt2,AndOrXor:2284_undef_63.smt2,AndOrXor:2284,AndOrXor,undef,ok,unsat,0,yes
35,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:2486_undef_49.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:2486_undef_49.smt2,combined,combined_AndOrXor:2486_undef_49.smt2,AndOrXor:2486_undef_49.smt2,AndOrXor:2486,AndOrXor,undef,ok,unsat,0,yes
36,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:698_undef_1.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:698_undef_1.smt2,partial,partial_AndOrXor:698_undef_1.smt2,AndOrXor:698_undef_1.smt2,AndOrXor:698,AndOrXor,undef,ok,unsat,0,yes
37,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:819_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:819_poison_0.smt2,partial,partial_AndOrXor:819_poison_0.smt2,AndOrXor:819_poison_0.smt2,AndOrXor:819,AndOrXor,poison,ok,unsat,0,yes
38,cvc4_tplanes_saturate_no_e_matching/full-full_AddSub:1165_values_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,full-full_AddSub:1165_values_0.smt2,full,full_AddSub:1165_values_0.smt2,AddSub:1165_values_0.smt2,AddSub:1165,AddSub,values,ok,unsat,0,yes
39,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1733_values_0.smt2,"ok,sat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1733_values_0.smt2,qf,qf_AndOrXor:1733_values_0.smt2,AndOrXor:1733_values_0.smt2,AndOrXor:1733,AndOrXor,values,ok,sat,0,no
40,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:931_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:931_poison_0.smt2,combined,combined_AndOrXor:931_poison_0.smt2,AndOrXor:931_poison_0.smt2,AndOrXor:931,AndOrXor,poison,ok,unsat,0,yes
41,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:2416_poison_43.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:2416_poison_43.smt2,qf,qf_AndOrXor:2416_poison_43.smt2,AndOrXor:2416_poison_43.smt2,AndOrXor:2416,AndOrXor,poison,ok,unsat,0,yes
42,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:2297_undef_24.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:2297_undef_24.smt2,partial,partial_AndOrXor:2297_undef_24.smt2,AndOrXor:2297_undef_24.smt2,AndOrXor:2297,AndOrXor,undef,ok,unsat,0,yes
43,cvc4_tplanes_saturate_no_e_matching/full-full_AndOrXor:230_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,full-full_AndOrXor:230_values_0.smt2,full,full_AndOrXor:230_values_0.smt2,AndOrXor:230_values_0.smt2,AndOrXor:230,AndOrXor,values,out of time,no result,1800,no
44,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:1900_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:1900_poison_0.smt2,partial,partial_AndOrXor:1900_poison_0.smt2,AndOrXor:1900_poison_0.smt2,AndOrXor:1900,AndOrXor,poison,ok,unsat,0,yes
45,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:280_values_3.smt2,"signal(9),no result,1793",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:280_values_3.smt2,partial,partial_AndOrXor:280_values_3.smt2,AndOrXor:280_values_3.smt2,AndOrXor:280,AndOrXor,values,signal(9),no result,1793,no
46,cvc4_tplanes_saturate_no_e_matching/combined-combined_AddSub:1599_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AddSub:1599_undef_0.smt2,combined,combined_AddSub:1599_undef_0.smt2,AddSub:1599_undef_0.smt2,AddSub:1599,AddSub,undef,ok,unsat,0,yes
