,opt_name,reason,proved
290,AndOrXor:2658,values,no
291,AndOrXor:2663,poison,yes
292,AndOrXor:2663,undef,yes
293,AndOrXor:2663,values,yes
294,AndOrXor:270,poison,yes
295,AndOrXor:270,undef,yes
296,AndOrXor:270,values,yes
297,AndOrXor:273,poison,yes
298,AndOrXor:273,undef,yes
299,AndOrXor:273,values,yes
300,AndOrXor:280,poison,yes
301,AndOrXor:280,undef,yes
302,AndOrXor:280,values,yes
303,AndOrXor:287,poison,yes
304,AndOrXor:287,undef,yes
305,AndOrXor:287,values,yes
306,AndOrXor:290,poison,yes
307,AndOrXor:290,undef,yes
308,AndOrXor:290,values,no
309,AndOrXor:298,poison,yes
310,AndOrXor:298,undef,yes
311,AndOrXor:298,values,yes
312,AndOrXor:363,poison,yes
313,AndOrXor:363,undef,yes
314,AndOrXor:363,values,no
315,AndOrXor:364,poison,yes
316,AndOrXor:364,undef,yes
317,AndOrXor:364,values,no
318,AndOrXor:516,poison,yes
319,AndOrXor:516,undef,yes
320,AndOrXor:516,values,yes
321,AndOrXor:523,poison,yes
322,AndOrXor:523,undef,yes
323,AndOrXor:523,values,no
324,AndOrXor:530,poison,yes
325,AndOrXor:530,undef,yes
326,AndOrXor:530,values,no
327,AndOrXor:537,poison,yes
328,AndOrXor:537,undef,yes
329,AndOrXor:537,values,no
330,AndOrXor:698,poison,yes
331,AndOrXor:698,undef,yes
332,AndOrXor:698,values,no
333,AndOrXor:709,poison,yes
334,AndOrXor:709,undef,yes
335,AndOrXor:709,values,no
336,AndOrXor:716,poison,yes
337,AndOrXor:716,undef,yes
338,AndOrXor:716,values,no
339,AndOrXor:732-1,poison,yes
340,AndOrXor:732-1,undef,yes
341,AndOrXor:732-1,values,no
342,AndOrXor:732-2,poison,yes
343,AndOrXor:732-2,undef,yes
344,AndOrXor:732-2,values,no
345,AndOrXor:745,poison,yes
346,AndOrXor:745,undef,yes
347,AndOrXor:745,values,no
348,AndOrXor:757,poison,yes
349,AndOrXor:757,undef,yes
350,AndOrXor:757,values,no
351,AndOrXor:794,poison,yes
352,AndOrXor:794,undef,yes
