,encoding,config,opt_name,reason,proved
191,ahmed,cvc4,AndOrXor:210,values,no
192,ahmed,cvc4,AndOrXor:2113,poison,yes
193,ahmed,cvc4,AndOrXor:2113,undef,yes
194,ahmed,cvc4,AndOrXor:2113,values,no
195,ahmed,cvc4,AndOrXor:2118,poison,yes
196,ahmed,cvc4,AndOrXor:2118,undef,yes
197,ahmed,cvc4,AndOrXor:2118,values,no
198,ahmed,cvc4,AndOrXor:2123,poison,yes
199,ahmed,cvc4,AndOrXor:2123,undef,yes
200,ahmed,cvc4,AndOrXor:2123,values,no
201,ahmed,cvc4,AndOrXor:2160,poison,yes
202,ahmed,cvc4,AndOrXor:2160,undef,yes
203,ahmed,cvc4,AndOrXor:2160,values,no
204,ahmed,cvc4,AndOrXor:2188,poison,yes
205,ahmed,cvc4,AndOrXor:2188,undef,yes
206,ahmed,cvc4,AndOrXor:2188,values,no
207,ahmed,cvc4,AndOrXor:2231,poison,yes
208,ahmed,cvc4,AndOrXor:2231,undef,yes
209,ahmed,cvc4,AndOrXor:2231,values,no
210,ahmed,cvc4,AndOrXor:2243,poison,yes
211,ahmed,cvc4,AndOrXor:2243,undef,yes
212,ahmed,cvc4,AndOrXor:2243,values,no
213,ahmed,cvc4,AndOrXor:2247,poison,yes
214,ahmed,cvc4,AndOrXor:2247,undef,yes
215,ahmed,cvc4,AndOrXor:2247,values,no
216,ahmed,cvc4,AndOrXor:2263,poison,yes
217,ahmed,cvc4,AndOrXor:2263,undef,yes
218,ahmed,cvc4,AndOrXor:2263,values,no
219,ahmed,cvc4,AndOrXor:2264,poison,yes
220,ahmed,cvc4,AndOrXor:2264,undef,yes
221,ahmed,cvc4,AndOrXor:2264,values,no
222,ahmed,cvc4,AndOrXor:2265,poison,yes
223,ahmed,cvc4,AndOrXor:2265,undef,yes
224,ahmed,cvc4,AndOrXor:2265,values,no
225,ahmed,cvc4,AndOrXor:2284,poison,yes
226,ahmed,cvc4,AndOrXor:2284,undef,yes
227,ahmed,cvc4,AndOrXor:2284,values,no
228,ahmed,cvc4,AndOrXor:2285,poison,yes
229,ahmed,cvc4,AndOrXor:2285,undef,yes
230,ahmed,cvc4,AndOrXor:2285,values,no
231,ahmed,cvc4,AndOrXor:2297,poison,yes
232,ahmed,cvc4,AndOrXor:2297,undef,yes
233,ahmed,cvc4,AndOrXor:2297,values,no
234,ahmed,cvc4,AndOrXor:230,poison,yes
235,ahmed,cvc4,AndOrXor:230,undef,yes
236,ahmed,cvc4,AndOrXor:230,values,no
237,ahmed,cvc4,AndOrXor:2367,poison,yes
238,ahmed,cvc4,AndOrXor:2367,undef,yes
239,ahmed,cvc4,AndOrXor:2367,values,no
240,ahmed,cvc4,AndOrXor:2416,poison,yes
241,ahmed,cvc4,AndOrXor:2416,undef,yes
242,ahmed,cvc4,AndOrXor:2416,values,no
243,ahmed,cvc4,AndOrXor:2417,poison,yes
244,ahmed,cvc4,AndOrXor:2417,undef,yes
245,ahmed,cvc4,AndOrXor:2417,values,no
246,ahmed,cvc4,AndOrXor:2429,poison,yes
247,ahmed,cvc4,AndOrXor:2429,undef,yes
248,ahmed,cvc4,AndOrXor:2429,values,no
249,ahmed,cvc4,AndOrXor:2430,poison,yes
250,ahmed,cvc4,AndOrXor:2430,undef,yes
251,ahmed,cvc4,AndOrXor:2430,values,no
252,ahmed,cvc4,AndOrXor:2443,poison,yes
253,ahmed,cvc4,AndOrXor:2443,undef,yes
254,ahmed,cvc4,AndOrXor:2443,values,no
255,ahmed,cvc4,AndOrXor:2453,poison,yes
256,ahmed,cvc4,AndOrXor:2453,undef,yes
257,ahmed,cvc4,AndOrXor:2453,values,yes
258,ahmed,cvc4,AndOrXor:2475,poison,yes
259,ahmed,cvc4,AndOrXor:2475,undef,yes
260,ahmed,cvc4,AndOrXor:2475,values,no
261,ahmed,cvc4,AndOrXor:2486,poison,yes
262,ahmed,cvc4,AndOrXor:2486,undef,yes
263,ahmed,cvc4,AndOrXor:2486,values,no
264,ahmed,cvc4,AndOrXor:2515,poison,yes
265,ahmed,cvc4,AndOrXor:2515,undef,yes
266,ahmed,cvc4,AndOrXor:2515,values,no
267,ahmed,cvc4,AndOrXor:2581,poison,yes
268,ahmed,cvc4,AndOrXor:2581,undef,yes
269,ahmed,cvc4,AndOrXor:2581,values,no
270,ahmed,cvc4,AndOrXor:2587,poison,yes
271,ahmed,cvc4,AndOrXor:2587,undef,yes
272,ahmed,cvc4,AndOrXor:2587,values,no
273,ahmed,cvc4,AndOrXor:2595,poison,yes
274,ahmed,cvc4,AndOrXor:2595,undef,yes
275,ahmed,cvc4,AndOrXor:2595,values,no
276,ahmed,cvc4,AndOrXor:2607,poison,yes
277,ahmed,cvc4,AndOrXor:2607,undef,yes
278,ahmed,cvc4,AndOrXor:2607,values,no
279,ahmed,cvc4,AndOrXor:2617,poison,yes
280,ahmed,cvc4,AndOrXor:2617,undef,yes
281,ahmed,cvc4,AndOrXor:2617,values,no
282,ahmed,cvc4,AndOrXor:2627,poison,yes
283,ahmed,cvc4,AndOrXor:2627,undef,yes
284,ahmed,cvc4,AndOrXor:2627,values,no
285,ahmed,cvc4,AndOrXor:2647,poison,yes
286,ahmed,cvc4,AndOrXor:2647,undef,yes
287,ahmed,cvc4,AndOrXor:2647,values,no
