filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
rec_AndOrXor:1819_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-2_undef_25.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1574_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:949_values_7.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2263_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1006_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1831_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1818_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1899_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1619_undef_43.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1827_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:942_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AddSub:1176_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1885_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:280_undef_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:819_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AddSub:1165_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2453_undef_29.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1043_poison_51.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:144_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:716_poison_40.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:709_poison_54.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2265_poison_8.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:732-1_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:364_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1895_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-2_poison_42.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1619_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1733_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1683-1_undef_90.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:732-2_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:819_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1849_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1176_poison_46.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:716_undef_14.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:937_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1879_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1884_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:931_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1832_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2663_values_64.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1164_undef_37.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1614_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:363_undef_6.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1827_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:530_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1012_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1795_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1795_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1850_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1818_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:922_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:530_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:794_poison_88.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2265_undef_39.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1832_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1819_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2595_poison_13.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1884_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:922_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1895_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1831_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1879_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1820_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:1894_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:2453_values_68.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:287_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1574_poison_49.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:924_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:961_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2265_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:280_poison_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:745_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1614_poison_46.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:298_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1683-1_values_78.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1043_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1899_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1869_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AddSub:1539-2_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:716_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:298_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1894_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_muldivrem:239_undef_19.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:270_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1619_poison_39.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1850_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:745_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1040_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1879_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1007_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1165_poison_62.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-1_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:745_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AddSub:1539-2_undef_46.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1006_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1899_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1885_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:966_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2243_undef_35.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2663_poison_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-1_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:135_undef_44.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1829_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:940_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2367_undef_53.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1007_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1040_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:994_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1820_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_muldivrem:239_poison_62.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1832_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:923_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1624_undef_32.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1006_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:757_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:924_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:941_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:967_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:994_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1829_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:978_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AddSub:1043_undef_52.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:530_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:363_poison_6.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:135_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2647_poison_49.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:988_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1733_undef_53.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1884_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1895_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:270_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
