filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
full_AndOrXor:732-1_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497b_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:922_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:537_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2430_poison_56.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1604_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:819_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2647_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_InstCombineShift582_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:942_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1564_undef_28.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2113_poison_40.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1884_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1828_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:961_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1614_undef_17.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1164_poison_62.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:239_undef_19.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497a_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1884_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1879_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:988_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:745_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:152_poison_42.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1819_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:364_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_InstCombineShift239_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1007_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1683-2_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2417_poison_40.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:290:292_values_0.smt2,unknown,timeout,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2265_poison_8.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:709_poison_54.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:270_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1202_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:922_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1864_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1733_undef_53.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2453_values_68.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift582_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497d_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:994_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,unsat
full_AndOrXor:2453_poison_58.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1895_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2607_poison_12.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1288_undef_28.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2008_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1043_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,unknown
full_AndOrXor:1879_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:942_values_0.smt2,unknown,unsat,timeout,unsat,timeout,timeout,unsat
full_AndOrXor:931_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,unsat
full_AndOrXor:949_undef_7.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1040_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1819_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:923_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:989_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:151_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:887-1_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2160_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2265_undef_39.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1740_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:931_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1895_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1870_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1619_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
full_AndOrXor:949_values_7.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
full_AndOrXor:2243_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1820_values_0.smt2,unknown,unsat,timeout,unsat,timeout,timeout,unsat
full_AndOrXor:1831_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1564_poison_16.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift440_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2475_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2627_undef_40.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:516_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:989_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2627_poison_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:230_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1564_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2486_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:270_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:887-2_poison_42.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:716_poison_40.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1007_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:516_poison_13.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1829_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2416_poison_43.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:280_values_5.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1818_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1818_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:523_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1164_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
full_AndOrXor:2367_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1560_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2123_poison_47.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:732-1_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2284_poison_32.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1869_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1828_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:745_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:290_undef_2.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2627_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1560_poison_3.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2008_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:363_poison_6.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2118_poison_16.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1733_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1043_poison_51.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:135_undef_44.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:273_values_7.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:144_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:967_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2297_undef_24.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2367_undef_53.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2113_undef_53.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2247_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:530_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:716_undef_14.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1880_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:135_poison_41.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2453_undef_29.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1006_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
